trade_date,close,ma_short,ma_long,signal,buy_signal,sell_signal,daily_return,strategy_return,cum_market,cum_strategy,market_value,strategy_value
20250630,28.91,28.91,28.91,0,False,False,,,,,,
20250701,30.08,29.494999999999997,29.494999999999997,0,False,False,0.040470425458318804,0.0,1.0404704254583188,1.0,104047.04254583188,100000.0
20250702,29.56,29.516666666666666,29.516666666666666,0,False,False,-0.017287234042553168,-0.0,1.022483569699066,1.0,102248.3569699066,100000.0
20250703,29.33,29.47,29.47,0,False,False,-0.00778078484438427,-0.0,1.0145278450363195,1.0,101452.78450363195,100000.0
20250704,28.81,29.338,29.338,0,False,False,-0.01772928741902491,-0.0,0.9965409892770667,1.0,99654.09892770667,100000.0
20250707,29.65,29.486,29.39,1,True,False,0.029156542867060153,0.0,1.025596679349706,1.0,102559.6679349706,100000.0
20250708,29.64,29.398000000000003,29.425714285714285,0,False,True,-0.00033726812816181617,-0.00033726812816181617,1.0252507782774127,0.9996627318718382,102525.07782774128,99966.27318718382
20250709,29.22,29.330000000000002,29.4,0,False,False,-0.014170040485830038,-0.0,1.010722933241093,0.9996627318718382,101072.2933241093,99966.27318718382
20250710,29.19,29.302,29.376666666666665,0,False,False,-0.0010266940451744144,-0.0,1.0096852300242132,0.9996627318718382,100968.52300242132,99966.27318718382
20250711,29.48,29.436,29.387,1,True,False,0.009934909215484788,0.0,1.0197163611207196,0.9996627318718382,101971.63611207197,99966.27318718382
20250714,29.75,29.456,29.42,1,False,False,0.00915875169606517,0.00915875169606517,1.0290556900726393,1.0088183946128626,102905.56900726393,100881.83946128626
20250715,29.45,29.418,29.4225,0,False,True,-0.010084033613445453,-0.010084033613445453,1.0186786579038396,0.9986454360117244,101867.86579038396,99864.54360117244
20250716,29.56,29.486,29.43307692307692,1,True,False,0.0037351443123938566,0.0,1.0224835696990662,0.9986454360117244,102248.35696990661,99864.54360117244
20250717,29.88,29.624000000000002,29.465,1,False,False,0.010825439783491264,0.010825439783491264,1.0335524040124526,1.0094562120443278,103355.24040124526,100945.62120443278
20250718,29.89,29.706,29.493333333333332,1,False,False,0.00033467202141901353,0.00033467202141901353,1.033898305084746,1.0097940487953467,103389.8305084746,100979.40487953468
20250721,30.02,29.76,29.567333333333334,1,False,False,0.004349280695884916,0.004349280695884916,1.0383950190245592,1.0141859265585917,103839.50190245592,101418.59265585917
20250722,30.03,29.875999999999998,29.564,1,False,False,0.00033311125916068995,0.00033311125916068995,1.0387409200968527,1.0145237633096107,103874.09200968526,101452.37633096107
20250723,29.72,29.907999999999998,29.574666666666666,1,False,False,-0.010323010323010418,-0.010323010323010418,1.0280179868557595,1.0040508240280261,102801.79868557595,100405.08240280261
20250724,30.09,29.95,29.625333333333334,1,False,False,0.012449528936743004,0.012449528936743004,1.0408163265306125,1.0165507838157237,104081.63265306126,101655.07838157237
20250725,30.39,30.05,29.730666666666664,1,False,False,0.009970089730807707,0.009970089730807707,1.0511933586994124,1.0266858863462893,105119.33586994125,102668.58863462893
20250728,30.33,30.112000000000002,29.776,1,False,False,-0.001974333662388972,-0.001974333662388972,1.0491179522656524,1.0246588658401763,104911.79522656524,102465.88658401763
20250729,30.42,30.189999999999998,29.827999999999996,1,False,False,0.0029673590504453173,0.0029673590504453173,1.0522310619162925,1.0276993965993462,105223.10619162924,102769.93965993462
20250730,30.33,30.312,29.901999999999997,1,False,False,-0.002958579881656931,-0.002958579881656931,1.0491179522656524,1.0246588658401763,104911.79522656524,102465.88658401763
20250731,29.67,30.227999999999998,29.934,1,False,False,-0.021760633036597365,-0.021760633036597365,1.026288481494293,1.002361640272932,102628.8481494293,100236.16402729321
20250801,29.71,30.092000000000002,29.949333333333335,1,False,False,0.0013481631277383332,0.0013481631277383332,1.0276720857834662,1.0037129872770074,102767.20857834663,100371.29872770075
20250804,30.33,30.092000000000002,29.988,1,False,False,0.020868394479973018,0.020868394479973018,1.0491179522656522,1.024658865840176,104911.79522656521,102465.8865840176
20250805,30.45,30.098000000000003,30.054666666666666,1,False,False,0.003956478733926794,0.003956478733926794,1.053268765133172,1.0287129068524024,105326.8765133172,102871.29068524024
20250806,32.95,30.622000000000003,30.280666666666665,1,False,False,0.0821018062397374,0.0821018062397374,1.1397440332065032,1.1131720946071153,113974.40332065032,111317.20946071153
20250807,32.4,31.168,30.448666666666668,1,False,False,-0.016691957511380973,-0.016691957511380973,1.1207194742303703,1.0945910733010784,112071.94742303704,109459.10733010784
20250808,34.77,32.17999999999999,30.774,1,False,False,0.07314814814814818,0.07314814814814818,1.2026980283638882,1.1746583832925461,120269.80283638882,117465.8383292546
20250811,35.19,33.152,31.118666666666666,1,False,False,0.012079378774805694,0.012079378774805694,1.2172258734002075,1.1888475268353378,121722.58734002075,118884.75268353378
20250812,37.38,34.538,31.608666666666668,1,False,False,0.06223358908780918,0.06223358908780918,1.2929782082324457,1.2628337753084664,129297.82082324458,126283.37753084664
20250813,44.86,36.92,32.618,1,False,False,0.20010700909577306,0.20010700909577306,1.551712210307852,1.5155356650705671,155171.2210307852,151553.5665070567
20250814,40.63,38.565999999999995,33.32066666666667,1,False,False,-0.09429335711101194,-0.09429335711101194,1.4053960567277761,1.3726307193895932,140539.6056727776,137263.07193895933
20250815,41.94,40.0,34.09066666666667,1,False,False,0.03224218557715952,0.03224218557715952,1.4507090971982013,1.4168873337730625,145070.90971982013,141688.73337730626
20250818,40.44,41.05,34.76466666666667,1,False,False,-0.03576537911301858,-0.03576537911301858,1.3988239363542028,1.3662118211202348,139882.39363542027,136621.18211202347
20250819,39.58,41.489999999999995,35.37533333333333,1,False,False,-0.021266073194856516,-0.021266073194856516,1.369076444136977,1.3371578605326135,136907.64441369768,133715.78605326134
20250820,40.28,40.574,36.038666666666664,1,False,False,0.017685699848408287,0.017685699848408287,1.3932895191975097,1.3608064331039331,139328.95191975095,136080.64331039332
20250821,39.65,40.378,36.704,1,False,False,-0.01564051638530295,-0.01564051638530295,1.3714977516430302,1.3395227177897453,137149.77516430302,133952.27177897454
20250822,41.45,40.279999999999994,37.486666666666665,1,False,False,0.04539722572509475,0.04539722572509475,1.433759944655829,1.4003333329731387,143375.9944655829,140033.33329731386
20250825,41.94,40.58,38.26066666666667,1,False,False,0.011821471652593285,0.011821471652593285,1.4507090971982015,1.416887333773062,145070.90971982016,141688.7333773062
20250826,42.36,41.136,39.05466666666667,1,False,False,0.010014306151645336,0.010014306151645336,1.4652369422345213,1.431076477315854,146523.69422345213,143107.6477315854
20250827,42.0,41.480000000000004,39.658,1,False,False,-0.008498583569405138,-0.008498583569405138,1.4527845036319615,1.4189143542791753,145278.45036319614,141891.43542791755
20250828,43.18,42.186,40.376666666666665,1,False,False,0.028095238095238173,0.028095238095238173,1.4936008301625738,1.4587790908993998,149360.08301625738,145877.90908994
20250829,42.81,42.458000000000006,40.912666666666674,1,False,False,-0.008568781843446005,-0.008568781843446005,1.4808024904877208,1.4462791311117025,148080.2490487721,144627.91311117026
20250901,43.3,42.730000000000004,41.45333333333333,1,False,False,0.011445923849567663,0.011445923849567663,1.4977516430300934,1.462833131911626,149775.16430300934,146283.3131911626
20250902,40.55,42.367999999999995,41.66466666666666,1,False,False,-0.06351039260969982,-0.06351039260969982,1.4026288481494293,1.3699280253814416,140262.88481494293,136992.80253814417
20250903,40.81,42.129999999999995,41.39466666666667,1,False,False,0.006411837237978002,0.006411837237978002,1.411622276029056,1.3787117809079321,141162.2276029056,137871.17809079323
20250904,38.89,41.272,41.278666666666666,0,False,True,-0.04704729233031124,-0.04704729233031124,1.3452092701487377,1.3138471247123127,134520.92701487377,131384.71247123127
20250905,39.74,40.658,41.132,0,False,False,0.021856518385189094,0.0,1.3746108612936705,1.3138471247123127,137461.08612936706,131384.71247123127
20250908,40.53,40.104,41.138,0,False,False,0.019879214896829422,0.0,1.4019370460048433,1.3138471247123127,140193.7046004843,131384.71247123127
20250909,38.91,39.776,41.093333333333334,0,False,False,-0.039970392301998614,-0.0,1.3459010722933247,1.3138471247123127,134590.10722933247,131384.71247123127
20250910,39.31,39.476,41.02866666666667,0,False,False,0.010280133641737521,0.0,1.359737115185058,1.3138471247123127,135973.7115185058,131384.71247123127
20250911,40.25,39.748000000000005,41.068666666666665,0,False,False,0.023912490460442637,0.0,1.3922518159806303,1.3138471247123127,139225.18159806303,131384.71247123127
20250912,40.33,39.866,40.994,0,False,False,0.0019875776397515477,0.0,1.3950190245589769,1.3138471247123127,139501.90245589768,131384.71247123127
20250915,40.35,39.83,40.888,0,False,False,0.0004959087527895978,0.0,1.3957108267035636,1.3138471247123127,139571.08267035635,131384.71247123127
20250916,41.3,40.308,40.81733333333333,0,False,False,0.023543990086740907,0.0,1.4285714285714293,1.3138471247123127,142857.14285714293,131384.71247123127
20250917,42.21,40.888,40.831333333333326,1,True,False,0.02203389830508473,0.0,1.4600484261501216,1.3138471247123127,146004.84261501217,131384.71247123127
20250918,42.09,41.256,40.75866666666666,1,False,False,-0.002842928216062468,-0.002842928216062468,1.4558976132826018,1.3101119516498756,145589.76132826018,131011.19516498756
20250919,43.06,41.80200000000001,40.775333333333336,1,False,False,0.023045854122119236,0.023045854122119236,1.4894500172950542,1.3403046005712436,148945.00172950543,134030.46005712435
20250922,42.27,42.186,40.70666666666667,1,False,False,-0.018346493265211317,-0.018346493265211317,1.4621238325838817,1.3157147112435315,146212.38325838817,131571.47112435315
20250923,43.46,42.618,40.900666666666666,1,False,False,0.02815235391530635,0.02815235391530635,1.5032860601867872,1.3527551774460345,150328.60601867872,135275.51774460345
20250924,45.93,43.362,41.242,1,False,False,0.05683387022549469,0.05683387022549469,1.5887236250432384,1.4296374896478685,158872.36250432383,142963.74896478685
20250925,45.1,43.964,41.656,1,False,False,-0.01807097757456999,-0.01807097757456999,1.5600138360428926,1.4038025426326775,156001.38360428927,140380.25426326774
20250926,44.0,44.152,41.940000000000005,1,False,False,-0.024390243902439046,-0.024390243902439046,1.5219647180906268,1.3695634562270023,152196.47180906267,136956.34562270023
20250929,43.79,44.456,42.157333333333334,1,False,False,-0.004772727272727262,-0.004772727272727262,1.514700795572467,1.3630269033677371,151470.0795572467,136302.69033677372
20250930,43.96,44.556,42.49400000000001,1,False,False,0.003882164877826,0.003882164877826,1.5205811138014536,1.3683183985395233,152058.11138014536,136831.83985395232
